Company,Sector,Price,Market Cap,Free Float Market Cap %,6m ADV,RoE %,RoCE %,EBIT Margin %,EPS,PAT %,Stock Return %
Hindustan Oil Exploration Company Ltd.,Crude Oil,68.4,131.2995046,0.8371,1.136946708,-1,-0.046310755,-0.92376614,4.533826672,-1,90.79497908
United Breweries (Holdings) Ltd.,Alcohol,40,39.31657235,0.4766,0.162805365,-1,-0.535855728,-1,158.744001,-1,38.16925734
Hindustan Motors Ltd.,Auto & Auto Anc.,7.15,21.94636563,0.6766,0.041084866,-0.868864049,-1,-1,6.8801369,-1,-8.333333333
HMT Ltd.,Industrials,42.85,477.6975162,0.0631,0.013322258,-0.183165903,-0.167937346,-1,5.865182265,-1,-23.07001795
ABG Shipyard Ltd.,Industrials,31.1,24.7184357,0.8177,0.178503598,-0.766748598,-0.051679337,-0.865159557,182.1757677,-1,-57.01451279
Arshiya Ltd.,Logistics,30.35,69.7270759,0.2501,0.038946577,-1,-0.020349186,-0.223943521,46.49992563,-1,-38.50050659
SKIL Infrastructure Ltd.,Infra.,22.55,71.83996823,0.3591,0.01423555,-0.042552099,-0.029913358,-0.173117995,11.5295012,-1,-46.11708483
Sahara One Media & Entertainment Ltd.,Media & Ent.,84,26.59752737,0.2501,3.86E-06,-0.118347872,-0.104796632,-1,9.901063296,-1,23.52941176
Polygenta Technologies Ltd.,Textile ,16.25,34.91207556,0.2627,2.39E-05,-1,-0.230846228,-1,15.63642354,-1,-7.670454545
Standard Industries Ltd.,Chemicals,23,21.76471927,0.7985,0.013118346,-0.161801642,-0.098005655,-1,4.867924033,-1,-12.87878788
Gujarat NRE Coke Ltd.,Metals & Mining,3,72.93303445,0.7234,0.090565059,-0.357462202,-0.048084604,-0.535177073,51.95725131,-0.972686969,-27.71084337
Commercial Engineers & Body Builders Company Ltd.,Auto & Auto Anc.,14.1,11.39593616,0.4477,0.015886142,-0.643666768,-0.130541011,-0.347732005,103.9351207,-0.866233606,-49.18918919
Mahanagar Telephone Nigam Ltd.,Telecom,19.6,181.6416503,0.4375,0.327020012,-0.818654586,-0.07691973,-0.540334159,192.4965994,-0.831324681,-12.10762332
Piramal Phytocare Ltd.,Healthcare,93.85,35.83962481,0.4246,0.063037438,-0.346,-0.347,-0.845814978,1.266754332,-0.762114537,-16.09298167
Educomp Solutions Ltd.,IT,10.95,19.72661619,0.5522,0.085806063,-0.278824507,-0.014651569,-0.293474359,262.691784,-0.754068877,-34.62686567
Financial Technologies (India) Ltd.,IT,72.65,49.24397687,0.5437,0.281872161,-0.051443314,-0.042349554,-1,42.54428934,-0.673921863,-38.66610384
Sterling Biotech Ltd.,Healthcare,3.6,14.41325892,0.7409,0.007801843,-0.212424448,-0.026653278,-0.294866684,462.7341588,-0.639297604,-50
GTL Infrastructure Ltd.,Telecom,4.45,161.038108,0.7309,0.181840894,-0.598394777,-0.006243928,-0.551999689,41.78438037,-0.63708991,32.8358209
ITI Ltd.,Telecom,46.95,331.5092511,0.1,0.180241953,-0.389240236,-0.077832367,-0.395395063,17.32474729,-0.51891643,47.17868339
3I Infotech Ltd.,IT,5.75,76.0307157,0.9523,0.215363496,-1,-0.01943153,-0.04250744,176.7706627,-0.489575893,4.545454545
Shriram EPC Ltd.,Infra.,29.5,340.0029649,0.4997,1.476287313,-1,-0.050416431,-0.13331802,16.10747424,-0.484352578,-18.84456671
Jyoti Ltd.,Cap. Goods,39.8,10.02844731,0.6734,0.000600211,-1,-0.077709952,-0.178947453,236.0911841,-0.479002614,-40.68554396
Cimmco Ltd.,Auto & Auto Anc.,69.2,20.5101196,0.2507,0.025486936,-0.092081341,-0.029257048,-0.323783181,15.6528585,-0.469720473,-17.56998213
Quadrant Televentures Ltd.,Telecom,3.57,32.15311855,0.4664,0.000754734,-0.197324766,-0.344608944,-0.418053544,163.3727763,-0.457857515,-21.71052632
Suzlon Energy Ltd.,Cap. Goods,14.65,1082.780806,0.7903,3.674903662,-1,-0.032221746,-0.024707784,184.2888227,-0.446749195,-33.71040724
Orient Green Power Company Ltd.,Power,9.9,107.737809,0.2849,0.031008156,-0.236289421,0.020439394,0.112763978,46.54575144,-0.443492825,-41.2462908
Reliance Defence and Engineering Ltd.,Industrials,55.85,604.8413803,0.701,1.476287313,-0.185913273,-0.000379327,-0.042893713,15.07025197,-0.437109275,-35.84147042
TCI Industries Ltd.,Misc.,1165,15.36865936,0.2502,0.000165839,-0.032470286,-0.033221993,-0.542631249,0.715281779,-0.427547835,-19.37716263
Energy Development Company Ltd.,Power,68.7,48.00308677,0.3869,0.996737376,-0.067112177,0.050756782,0.341980453,7.949221325,-0.421659889,67.76556777
Kamat Hotels (India) Ltd.,Hospitality,31,10.75471847,0.391,0.007214809,-0.731971282,0.009173018,0.010582884,152.1579579,-0.413097892,-39.27522037
Starcom Information Technology Ltd.,IT,250,18.38996673,0.2327,0.000102661,-1,-0.003831737,-0.405848836,5.597820078,-0.392447427,-48.05734469
Unitech Ltd.,Realty,4.65,178.8474573,0.7505,1.764458086,-0.117572191,0.069796202,0.247860573,191.9768451,-0.385264757,-33.57142857
Shree Ram Urban Infrastructure Ltd.,Textile ,56.15,33.97623282,0.2987,0.000883863,-0.048396401,-0.024208999,-0.366889609,20.88523164,-0.376887595,-26.21550591
IVRCL Ltd.,Infra.,4.65,53.55213516,0.9463,0.072603581,-0.979340026,-0.04189286,-0.137140634,713.2374813,-0.372715137,-53.73134328
Starlog Enterprises Ltd.,Misc.,87.35,15.37683728,0.3556,0.001034275,-0.16235646,0.001594057,-0.137309137,71.76717955,-0.372252427,-42.41924852
Hotel Leela Venture Ltd.,Hospitality,16.25,111.5384601,0.3612,0.048628628,-0.434413387,-0.016062588,-0.127624909,67.68473398,-0.37047727,-24.94226328
Adhunik Metaliks Ltd.,Iron & Steel,7.15,12.98943276,0.3529,0.007334828,-0.308809727,-0.073826668,-0.266426635,853.2313308,-0.368673041,-54.16666667
KSL & Industries Ltd.,Textile ,16.75,24.80427077,0.6078,0.000270536,-1,-0.231158192,-0.298036311,432.7287466,-0.363273151,-10.66666667
A2Z Infra Engineering Ltd.,Infra.,44.65,85.13711892,0.5197,0.525428574,-0.25929256,-0.04684127,-0.220063691,69.82133772,-0.355293121,63.25411335
GTL Ltd.,Telecom,16.45,38.06313407,0.5577,0.064024509,-1,-0.128950123,-0.206107543,655.7342323,-0.332865906,-6.798866856
Asian Hotels (North) Ltd.,Hospitality,104.55,29.91813756,0.2752,0.002665507,-0.09658477,0.024711787,0.065705,77.7094495,-0.323795809,-23.125
Andhra Petrochemicals Ltd.,Crude Oil,24.95,31.18625059,0.5495,0.020888849,-0.266838166,-0.162752452,-0.277737258,44.97549316,-0.317406676,47.63313609
Unity Infraprojects Ltd.,Infra.,8.35,14.84732699,0.4084,0.011227393,-0.47820994,-0.012926779,-0.058340511,739.5746054,-0.310235061,-48.77300614
Ashapura Minechem Ltd.,Metals & Mining,68.35,87.45953763,0.5157,0.115549955,-1,1,0.133874833,200.4179997,-0.304904042,-25.82745524
PVP Ventures Ltd.,Realty,4.95,17.84364305,0.4246,0.006862003,-0.038834216,0.002830957,-0.220879176,29.90493581,-0.296094735,-28.26086957
Jaybharat Textiles & Real Estate Ltd.,Textile ,21.7,122.2061392,0.3145,6.71E-05,-1,-0.427770761,-0.251234628,61.86738285,-0.29555957,-13.0260521
Easun Reyrolle Ltd.,Cap. Goods,24.6,11.14351031,0.6392,0.011288556,-0.210937424,-0.029181296,-0.173409875,105.8293094,-0.292374354,-50.70140281
Ramky Infrastructure Ltd.,Infra.,68.35,57.509103,0.3224,0.061279183,-0.464913962,-0.043015602,-0.157785577,285.890392,-0.287659735,86.23978202
GMR Infrastructure Ltd.,Infra.,12.5,1109.87515,0.3839,1.844471387,-0.310951045,0.018663694,0.082248122,81.29581061,-0.28726274,-21.3836478
GVK Power & Infrastructure Ltd.,Infra.,5.75,133.5754498,0.4575,0.231248078,-0.354222936,0.008044997,0.03678127,228.3091694,-0.273936353,-36.81318681
Bajaj Hindusthan Sugar Ltd.,Sugar,14.75,245.9548191,0.7398,0.498391494,-0.628010131,-0.02340605,-0.093975107,184.397688,-0.269251546,-24.16452442
Indosolar Ltd.,Cap. Goods,7.1,37.40398514,0.4235,0.038655069,-1,0.024267781,0.070082791,79.12868078,-0.264112108,-44.74708171
Consolidated Construction Consortium Ltd.,Infra.,3.6,21.10385679,0.8059,0.004427046,-0.79798787,-0.019396094,-0.085507229,317.2561593,-0.262093187,-40.49586777
Asian Hotels (West) Ltd.,Hospitality,215,36.23911479,0.3552,0.002377301,-0.268641857,0.007676726,0.018086563,75.72000629,-0.257249749,61.41141141
Parenteral Drugs (India) Ltd.,Healthcare,22.25,9.758938217,0.2672,0.006805161,-0.408278689,-0.022118847,-0.063445091,269.1575493,-0.25602546,-69.60382514
Sun Pharma Advanced Research Company Ltd.,Pharma,307.2,1115.616561,0.3228,1.257671595,-0.332249674,-0.316314906,-0.271840116,1.395976946,-0.255044546,-6.883695553
Premier Ltd.,Cap. Goods,29.75,13.29190854,0.5505,0.003846091,-0.088513013,-0.008671501,-0.065647536,125.0634546,-0.252115703,-42.06426485
E-Land Apparel Ltd.,Textile ,21.75,15.3544079,0.3416,0.026810547,-0.316428526,-0.124854985,-0.172294031,113.9943664,-0.246355515,-63.13559322
Punj Lloyd Ltd.,E&C,19.9,97.21543305,0.6328,0.363735936,-1,-0.035794598,-0.14158155,729.3348162,-0.243027759,-31.73241852
Kirloskar Electric Company Ltd.,Cap. Goods,42.85,41.86294081,0.4592,0.355305111,-1,-0.29218152,-0.197579134,121.9088746,-0.239503992,2.145411204
Vascon Engineers Ltd.,Infra.,31.55,74.87751152,0.5327,0.216004794,-0.241700851,-0.108015831,-0.187715719,83.15785451,-0.228678224,-10.11396011
Lanco Infratech Ltd.,Utilities,3.85,155.7061892,0.2945,0.137644228,-1,0.018100242,0.0610836,601.897076,-0.227140465,-46.52777778
Tata Teleservices (Maharashtra) Ltd.,Telecom,6,172.5443634,0.251,0.128787676,-0.230874042,0.008253942,-0.006222496,167.6513763,-0.212335752,-25.92592593
Media Matrix Worldwide Ltd,Media & Ent.,9.91,165.1290752,0.3928,0.005885495,-0.527890954,-0.274816538,-0.196381761,9.7806431,-0.208474123,10.35634744
Visa Steel Ltd.,Iron & Steel,17.65,28.55986914,0.3802,0.009811909,-1,-0.014679859,-0.051773292,448.2772641,-0.196559486,0.857142857
Asian Oilfield Services Ltd.,Crude Oil,129.4,42.49460195,0.9013,0.087226711,-0.524659154,-0.170854524,-0.167707129,33.14138113,-0.190367342,123.8754325
Fertilisers & Chemicals Travancore Ltd.,Chemicals,27,137.7293735,0.1,0.015837499,-0.57133738,-0.41194842,-0.100440421,143.6721122,-0.18961111,7.784431138
Welspun Enterprises Ltd.,Realty,60.25,154.4630982,0.626,0.233381202,-0.157482723,-0.018405144,-0.151385784,53.51971486,-0.187968266,-1.229508197
Monnet Ispat & Energy Ltd.,Iron & Steel,24.85,73.39056256,0.7473,0.037088652,-0.240688362,-0.010106026,-0.059308892,442.095155,-0.186133027,-26.58788774
Blue Coast Hotels  Ltd.,Hospitality,124.65,23.37592066,0.3861,0.000136961,-0.165483681,0.042277564,0.188950112,45.62810661,-0.184792973,83.44370861
Sharon Bio-Medicine Ltd.,Healthcare,9.4,14.59765364,0.4774,0.048451887,-0.636718886,-0.050528468,-0.063921348,574.3832678,-0.178743341,-67.47404844
Orchid Pharma Ltd.,Healthcare,28.75,37.62465751,0.6217,1.476287313,-0.627511557,0.134831597,-0.004174317,309.4795127,-0.177509667,-53.85232745
IOL Chemicals & Pharmaceuticals Ltd.,Chemicals,100.3,82.92749737,0.6008,0.161730085,-0.320182424,-0.027826515,-0.045874811,46.39297688,-0.173292455,34.36034829
ISMT Ltd.,Iron & Steel,9.5,20.47312492,0.484,0.006707822,-1,-0.030559031,-0.048937917,743.8776474,-0.171660265,-4.04040404
Peninsula Land Ltd.,Realty,14.3,58.73164553,0.4463,0.078232358,-0.019071555,0.032420015,-0.167954015,28.43611796,-0.169929944,-39.53488372
Spice Mobility Ltd.,Trading,15.1,50.61409332,0.2564,0.004883579,-0.672053265,-0.099921123,-0.047013266,418.1278364,-0.167952223,-29.6037296
Smartlink Network Systems Ltd.,IT,105.3,34.92960993,0.273,0.045555274,-0.035514129,0.03060596,-0.306732848,26.03006789,-0.159807287,8.333333333
Kesoram Industries Ltd.,Diversified,137.95,237.9701345,0.4738,1.460891034,-1,-0.01788219,-0.033046947,204.7891434,-0.158459136,16.75835802
Andhra Cements Ltd.,Const. Materials,7.45,32.16721816,0.3121,0.027653586,-0.221414221,0.05327119,-0.002700207,86.42826949,-0.155415683,-26.96078431
Panacea Biotec Ltd.,Healthcare,125.45,113.0318561,0.2538,0.06772082,-0.215363665,-0.000438439,-0.03399351,60.79613515,-0.154193163,-7.892804699
GOL Offshore Ltd.,Logistics,24.25,28.13555456,0.5027,0.050494065,-0.245068136,0.061708018,0.170750254,444.0324776,-0.149850718,-54.0719697
Den Networks Ltd.,Media & Ent.,72.05,205.6422658,0.5995,0.12434905,-0.092690907,-0.001942994,-0.099289384,54.10838067,-0.148710745,-33.2561371
Binani Industries Ltd.,Diversified,73.45,33.89004658,0.4738,0.160737644,-0.948509702,-0.013114122,-0.027302112,1278.010961,-0.143743568,-5.408886027
Spicejet Ltd.,Aviation,63.55,560.3862608,0.3968,2.776482152,-0.660930785,-0.989043762,-0.150601602,92.82035203,-0.143519449,-22.87621359
Wintac Ltd.,Healthcare,151.95,22.40634741,0.4501,0.000393969,-0.12528869,-0.164144929,-0.188316926,13.15362239,-0.137416407,-49.16359987
Jindal Stainless Ltd.,Iron & Steel,39.1,229.7626727,0.2593,0.138916569,-1,0.000974743,-0.006293978,302.3971831,-0.137368408,38.89875666
